Language name,Alternate language names,Country,Region,Resource Title,Resource URL,"Resource type (please only choose from the dropdown list, don't type anything here!)",
Latvian,"latviešu valoda, Lettish",Latvia,Europe,NHS guidance document,https://www.doctorsoftheworld.org.uk/wp-content/uploads/2020/04/Latvian-Covid19-Guidance.pdf,Document,
Lengo,Doku,Solomon Islands,Pacific,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=lgr-000,Image/poster,
Lepcha,Róng ríng,"India, Nepal, Bhutan",South Asia,WHO myth busters video,https://youtu.be/oQtuKwkBn_A,Video,
Lepcha,Róng ríng,"India, Nepal, Bhutan",South Asia,WHO myth busters page,https://covid-no-mb.org/?page_id=931,Web page,
Liangmai,,India,South Asia,WHO myth busters information page,https://covid-no-mb.org/?page_id=1689,Web page,
Limbu,"लिम्बु, ᤕᤠᤰᤌᤢᤱ ᤐᤠᤴ, yakthung pān","Nepal, India",South Asia,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=lif-003,Image/poster,
Lingala,Ngala,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,CDC audio message,https://cdn.branchcms.com/DZAwJB3wVW-1030/docs/COVID-19/LINGALA-COVID-19-Audio.m4a,Audio,
Lingala,Ngala,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,COVID-19 vaccine information for adults in Lingala,http://www.healthscotland.com/documents/51509.aspx,Web page,
Lingala,Ngala,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,CDC audio message,https://cdn.branchcms.com/DZAwJB3wVW-1030/docs/COVID-19/LINGALA-COVID-19-Audio.m4a,Audio,
Lingala,Ngala,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,Maine CDC fact sheet,https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/documents/COVID-19-FS_Lingala_Final.pdf,Document,
Lingala,Ngala,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,CDC fact sheet,https://cdn.branchcms.com/DZAwJB3wVW-1030/images/COVID-19/2020-03-12-share-facts-h_Lingala.jpg,Image/poster,
Lingala,Ngala,"DR Congo, Republic of Congo, Central African Republic, Angola",Africa,Information video,https://www.youtube.com/watch?v=AqautWcCQx8,Video,
Lithuanian,lietuvių kalba,Lithuania,Europe,NHS guidance document,https://www.doctorsoftheworld.org.uk/wp-content/uploads/2020/04/Lithuanian-Covid19-Guidance.pdf,Document,
Lithuanian,lietuvių kalba,Lithuania,Europe,USAHello information page,https://usahello.org/lt/coronavirus-information/,Web page,
Lithuanian ,lietuvių kalba ,Lithuania,Europe,Covid-19 vaccination - Lithuanian translation,https://www.youtube.com/watch?v=I2FcA22Se-s,Video,
Logooli,"Logoli, Lulogooli",Kenya,Africa,Symptoms and prevention infographic,https://www.facebook.com/204691779966932/photos/a.809690966133674/922464464856323/?type=3&theater,Image/poster,
Lombard,"lumbarda, lumbàart, lumbard","Italy, Switzerland",Europe,"""Do the 5"" poster from Translation Commons",https://translationcommons.org/covid19multilingual/?uid=lmo-000,Image/poster,
