Language name,Alternate language names,Country,Region,Resource Title,Resource URL,"Resource type (please only choose from the dropdown list, don't type anything here!)",
Maore Comorian,"Shimaore, Ndzuani","Comoros, Mayotte",Africa,Prevention infographic from EAITA,https://www.facebook.com/204691779966932/photos/pcb.927927417643361/927927364310033/?type=3&theater,Image/poster,
Māori,,New Zealand,Pacific,NZ protection and prevention poster,https://covid19.govt.nz/assets/resources/COVID-19_Key-Message_A4-Posters_Protect_Te-Reo.pdf,Document,
Māori,,New Zealand,Pacific,NZ fact sheet,https://covid19.govt.nz/assets/translations/COVID19_A4_translation_COOK_ISLANDS_MAORI.pdf,Document,
Māori,,New Zealand,Pacific,NZ Stay-at-home plan,https://covid19.govt.nz/assets/translations/COVID19-L4-Your-stay-at-home-plan-A4-TE-REO.pdf,Document,
Māori,,New Zealand,Pacific,"NZ ""what it means"" sheet",https://covid19.govt.nz/assets/translations/Te-Reo-Level-3-factsheet.pdf,Document,
Māori,,New Zealand,Pacific,NZ Prime Minister press conferences,https://www.youtube.com/playlist?list=PLvwEBGntcGmHr4tZoubuQwho0yZtoMh3N,Video,
Māori,,New Zealand,Pacific,USAHello information page,https://usahello.org/mi/coronavirus-information/,Web page,
Mapuche,Mapudungun,"Argentina, Chile",South America,WHO myth busters information video,https://youtu.be/EZkWYU4Au9E,Video,
Mapuche,Mapudungun,"Argentina, Chile",South America,Informational video,https://www.facebook.com/1202307407/videos/10222370610953095/,Video,
Mapuche,Mapudungun,"Argentina, Chile",South America,Informational video,https://www.facebook.com/Millakewpu/videos/10221727951844281/,Video,
